,RAZÃO SOCIAL,ENDEREÇO,BAIRRO,BANDEIRA,PREÇO VENDA,PREÇO COMPRA,MODELIDADE DE COMPRA,FORNECEDOR (B BRANCA),DATA COLETA,CIDADE,COD_CIDADE,ESTADO,COD_ESTADO,REGIÂO_ESTADO
0,RPMP COMERCIO DE COMBUSTIVEIS LTDA,"AVENIDA JURACY MAGALHAES, S/N",Centro,BRANCA,2.92,2.630,CIF,PETROBAHIA,17/08/2020,alagoinhas,342,Bahia,BA,Centro Subregional A (3A)
1,CPD ENERGETICOS E DERIVADOS DE PETROLEO LTDA.,"RODOVIA BR 101, KM 110,5, S/N",Zona Rural,PETROBRAS DISTRIBUIDORA S.A.,3.19,-,-,-,17/08/2020,alagoinhas,342,Bahia,BA,Centro Subregional A (3A)
2,AUTO POSTO JONGA II COMERCIO DE COMBUSTIVEIS E LUBRIFICANTES LTDA,"RODOVIA BR 101 KM 105, S/N ZONA RURAL",Vale do Sol,LARCO,3.38,-,-,-,17/08/2020,alagoinhas,342,Bahia,BA,Centro Subregional A (3A)
3,POSTO TROPICAL DE COMBUSTIVEIS LTDA,"RUA PAULO AFONSO, 420",Praca Kennedy,ALESAT,3.3960000000000004,2.771,CIF,-,17/08/2020,alagoinhas,342,Bahia,BA,Centro Subregional A (3A)
4,2 A COMERCIO DE COMBUSTIVEIS GNV E LUBRIFICANTES LTDA,"RODOVIA BR 101 KM 116, S/N SALA 01",Centro,LARCO,3.46,3.025,CIF,-,17/08/2020,alagoinhas,342,Bahia,BA,Centro Subregional A (3A)
5,NOVO PLANALTO COMBUSTIVEIS E SERVICOS LTDA,"AVENIDA JURACY MAGALHÃES, S/N GALPÃO",Jardim Petrolar,PETROBRAS DISTRIBUIDORA S.A.,3.5189999999999997,-,-,-,17/08/2020,alagoinhas,342,Bahia,BA,Centro Subregional A (3A)
6,COMERCIAL DE PRODUTOS DE PETROLEO ALAGOINHAS LTDA,"AVENIDA JURACY MAGALHAES, 409 POSTO",Centro,PETROBRAS DISTRIBUIDORA S.A.,3.55,2.791,CIF,-,17/08/2020,alagoinhas,342,Bahia,BA,Centro Subregional A (3A)
7,MEIRELES COMERCIO DE DERIVADOS DE PETROLEO LTDA,"RUA MARECHAL BITENCOURT, 94120",Centro,PETROSERRA,3.5589999999999997,2.764,CIF,-,17/08/2020,alagoinhas,342,Bahia,BA,Centro Subregional A (3A)
8,2P COMERCIO DE DERIVADO DE PETROLEO LTDA - ME,"RUA DANTAS BIAO, SN",Alagoinhas Velha,PETROSERRA,3.59,-,-,-,17/08/2020,alagoinhas,342,Bahia,BA,Centro Subregional A (3A)
0,POSTO MACAUBENSE LTDA,"RUA CORONEL EMILIANO BALBINO, 59",Centro,PETROBRAS DISTRIBUIDORA S.A.,2.79,-,-,-,17/08/2020,barreiras,403,Bahia,BA,Capital Regional C (2C)
1,AUTO POSTO DE COMBUSTIVEIS BARREIRINHAS LTDA,"RUA BOA VISTA, 499",Barreirinhas,RAIZEN,2.799,2.475,CIF,-,17/08/2020,barreiras,403,Bahia,BA,Capital Regional C (2C)
2,MARIANO JUNIOR COMERCIO DE COMBUSTIVEIS LTDA,"RUA CUSTODIO MORENO, S/N",Vila Brasil,BRANCA,2.8989999999999996,2.319,CIF,RAIZEN,17/08/2020,barreiras,403,Bahia,BA,Capital Regional C (2C)
3,SA NACIONAL DE VEICULOS LTDA,"ROD BR 242, S/Nº KM 0",Vila Rica,PETROBRAS DISTRIBUIDORA S.A.,2.8989999999999996,-,-,-,17/08/2020,barreiras,403,Bahia,BA,Capital Regional C (2C)
4,POSTO SERRA GERAL COMERCIO DE COMBUSTIVEIS LTDA,"AVENIDA RUY BARBOSA, 1528",Vila Regina,BRANCA,2.99,2.282,CIF,-,17/08/2020,barreiras,403,Bahia,BA,Capital Regional C (2C)
5,REDE ROYAL DE AUTO POSTOS EIRELI,"AVENIDA CLERISTON ANDRADE, 1629",Jd Bela Vista,BRANCA,2.99,-,-,-,17/08/2020,barreiras,403,Bahia,BA,Capital Regional C (2C)
6,PORTO BRASIL COMBUSTÍVEIS LTDA.,"RODOVIA BR 242/020, S/N KM 548,6",Zona Rural,PETROBRAS DISTRIBUIDORA S.A.,2.9989999999999997,-,-,-,17/08/2020,barreiras,403,Bahia,BA,Capital Regional C (2C)
7,POSTO TURBINAS LTDA,"RUA PAULO AFONSO, 1511",Barreirinhas,BRANCA,2.9989999999999997,2.695,CIF,LARCO,17/08/2020,barreiras,403,Bahia,BA,Capital Regional C (2C)
8,PORTO BRASIL COMBUSTÍVEIS LTDA.,"RODOVIA BR 020/242 KM 604, S/N",Vale da Boa Esperança,PETROBRAS DISTRIBUIDORA S.A.,2.9989999999999997,-,-,-,17/08/2020,barreiras,403,Bahia,BA,Capital Regional C (2C)
9,PB COMÉRCIO DE COMBUSTIVEL PARA VEICULOS AUTOMOTORES LTDA - EPP,"AVENIDA JOSE BRAZ DE AZEVEDO, 400",Vila Rica,ALESAT,3.299,2.917,CIF,-,17/08/2020,barreiras,403,Bahia,BA,Capital Regional C (2C)
0,POSTO CATIBOABA LTDA,"RODOVIA BR 030 KM 08, SN CASA",Vila Catiboaba,PETROBAHIA,3.54,-,-,-,17/08/2020,brumado,443,Bahia,BA,Centro Subregional B (3B)
1,B & B COMERCIAL LTDA.,"RUA EXUPERIO PINHEIRO CANGUSSU, 505",Centro,RAIZEN,3.549,-,-,-,17/08/2020,brumado,443,Bahia,BA,Centro Subregional B (3B)
2,NEVES & CIA LTDA,"AVENIDA CORONEL SANTOS, 247 CASA",Sao Felix,BRANCA,3.5989999999999998,2.598,CIF,PETROSERRA,17/08/2020,brumado,443,Bahia,BA,Centro Subregional B (3B)
3,POSTO DE COMBUSTIVEIS TURMALINA LTDA - ME,"RUA DR. MARIO MEIRA, 40 CASA",Centro,PETROBAHIA,3.635,2.704,CIF,-,17/08/2020,brumado,443,Bahia,BA,Centro Subregional B (3B)
4,POSTO SEABRA LTDA,"RUA ERNESTO CARNEIRO, 09",Centro,PETROBRAS DISTRIBUIDORA S.A.,3.6489999999999996,2.649,CIF,-,17/08/2020,brumado,443,Bahia,BA,Centro Subregional B (3B)
5,POSTO DE COMBUSTIVEIS JAJA LTDA,"AVENIDA CENTENARIO, 1105",Novo Brumado,PETROBRAS DISTRIBUIDORA S.A.,3.6489999999999996,-,-,-,17/08/2020,brumado,443,Bahia,BA,Centro Subregional B (3B)
6,POSTO MEIRA COMERCIO DE COMBUSTIVEIS EIRELI,"AVENIDA CEL. SANTOS, 785 PREDIO",Sao Felix,BRANCA,3.66,-,-,-,17/08/2020,brumado,443,Bahia,BA,Centro Subregional B (3B)
0,AUTO POSTO FAUSTO LTDA,"AVENIDA DACIO OLIVEIRA, SN",Rancho Alegre,BRANCA,2.997,-,-,-,17/08/2020,caetite,461,Bahia,BA,Centro de Zona A (4A)
1,ELCI FARIAS DO COUTO,"AVENIDA DACIO OLIVEIRA, 1101",Rancho Alegre,BRANCA,2.997,2.382,FOB,-,17/08/2020,caetite,461,Bahia,BA,Centro de Zona A (4A)
2,MARIA RODRIGUES SOUZA,"PRACA BUENOS AIRES, S/N",Sede,BRANCA,2.9989999999999997,-,-,-,17/08/2020,caetite,461,Bahia,BA,Centro de Zona A (4A)
3,MARTINS MARQUES COMÉRCIO DE DERIVADOS PETRÓLEO LTDA,"AVENIDA DACIO OLIVEIRA, 817",Centro,RAIZEN,2.9989999999999997,-,-,-,17/08/2020,caetite,461,Bahia,BA,Centro de Zona A (4A)
4,AUTO POSTO SAMAPE EIRELI,"AVENIDA OLIMAR OLIVEIRA RODRIGUES, 365",Ovidio Teixeira,BRANCA,2.9989999999999997,-,-,-,17/08/2020,caetite,461,Bahia,BA,Centro de Zona A (4A)
5,CARDOSO MARQUES COMÉRCIO DE DERIVADOS DE PETRÓLEO LTDA.,"AVENIDA DÁCIO OLIVEIRA, 170",Centro,RAIZEN,2.9989999999999997,-,-,-,17/08/2020,caetite,461,Bahia,BA,Centro de Zona A (4A)
0,POSTO DE COMBUSTÍVEIS GASOTO LTDA.,"RUA LATERAL DE DENTRO, S/N KM 16,3 VIA PARAFUSO LTS 4/8 QD. 40",Lot. Jardim Limoeiro,BRANCA,2.99,2.620,CIF,RAIZEN,17/08/2020,camacari,473,Bahia,BA,Metrópole (1C) - Município integrante do Arranjo Populacional de Salvador/BA
1,MP COMERCIO DE COMBUSTIVEIS LTDA,"RODOVIA BA 099, S/N KM 52",Estrada do Coco,BRANCA,2.99,2.670,CIF,LARCO,17/08/2020,camacari,473,Bahia,BA,Metrópole (1C) - Município integrante do Arranjo Populacional de Salvador/BA
2,POSTO JACUIPE COMERCIO DE COMBUSTIVEIS LTDA,"RODOVIA BA 099, ESTRADA DO COCO, S/N KM 30",Barra do Jacuipe - Monte Gordo,BRANCA,2.99,-,-,-,17/08/2020,camacari,473,Bahia,BA,Metrópole (1C) - Município integrante do Arranjo Populacional de Salvador/BA
3,COMERCIAL DE PETROLEO VERDES MARES LTDA,"RODOVIA BA 099 - ESTRADA DO COCO, S/N KM 49",Monte Gordo,BRANCA,2.99,2.660,CIF,PETROBAHIA,17/08/2020,camacari,473,Bahia,BA,Metrópole (1C) - Município integrante do Arranjo Populacional de Salvador/BA
4,SOBRAL & FILHOS COMERCIO DE COMBUSTIVEIS LTDA,"AVENIDA RIO CAMACARI, S/N",Camacari de Dentro,PETROBRAS DISTRIBUIDORA S.A.,3.09,-,-,-,17/08/2020,camacari,473,Bahia,BA,Metrópole (1C) - Município integrante do Arranjo Populacional de Salvador/BA
5,POSTO KALILANDIA LTDA,"ESTRADA DO COCO, S/N KM 09",Catu de Abrantes,RAIZEN,3.09,-,-,-,17/08/2020,camacari,473,Bahia,BA,Metrópole (1C) - Município integrante do Arranjo Populacional de Salvador/BA
6,SOBRAL & FILHOS COMERCIO DE COMBUSTIVEIS LTDA,"RODOVIA BA 099, KM 29, S/N ESTRADA DO COCO",Barra do Jacuipe - Monte Gordo,PETROBRAS DISTRIBUIDORA S.A.,3.09,-,-,-,17/08/2020,camacari,473,Bahia,BA,Metrópole (1C) - Município integrante do Arranjo Populacional de Salvador/BA
7,CORESFIL COMERCIO REVENDEDOR DE COMBUSTIVEIS LTDA,"AVENIDA RADIAL B, 783",Alto da Cruz,PETROBRAS DISTRIBUIDORA S.A.,3.14,2.750,CIF,-,17/08/2020,camacari,473,Bahia,BA,Metrópole (1C) - Município integrante do Arranjo Populacional de Salvador/BA
8,POSTO AVENIDA COMB. DERIV. PET. SERVICOS LTDA,"AVENIDA VINTE E OITO DE SETEMBRO, 999",Camaçari de Dentro,RAIZEN,3.14,2.679,CIF,-,17/08/2020,camacari,473,Bahia,BA,Metrópole (1C) - Município integrante do Arranjo Populacional de Salvador/BA
9,CORESFIL COMERCIO REVENDEDOR DE COMBUSTIVEIS LTDA,"RUA DA RODOVIARIA, S/N",Centro,PETROBRAS DISTRIBUIDORA S.A.,3.14,2.757,CIF,-,17/08/2020,camacari,473,Bahia,BA,Metrópole (1C) - Município integrante do Arranjo Populacional de Salvador/BA
10,AUTO POSTO BARRACUDA LTDA,"AVENIDA RADIAL B, 971",Alto da Cruz,IPIRANGA,3.14,-,-,-,17/08/2020,camacari,473,Bahia,BA,Metrópole (1C) - Município integrante do Arranjo Populacional de Salvador/BA
11,POSTO GUARDIANI LTDA - ME,"RUA DO BARRO VERMELHO, 3",Vila de Abrantes,PETROBRAS DISTRIBUIDORA S.A.,3.19,-,-,-,17/08/2020,camacari,473,Bahia,BA,Metrópole (1C) - Município integrante do Arranjo Populacional de Salvador/BA
0,AUTO POSTO DESEJO LTDA.,"AVENIDA DAVID JONAS FADINI, 2798",Juca Rosa,BRANCA,3.47,-,-,-,17/08/2020,eunapolis,579,Bahia,BA,Capital Regional C (2C)
1,SILVA COMERCIO DE COMBUSTIVEIS E SERVICOS LTDA - ME,"ESTRADA DA COLONIA, SN LOTE 01 QUADRAF",Antares,BRANCA,3.49,-,-,-,17/08/2020,eunapolis,579,Bahia,BA,Capital Regional C (2C)
2,POSTO NORTE SUL COMERCIO DE COMBUSTIVEIS LTDA - ME.,"AVENIDA NORTE-SUL, 826",Centauro Oeste,BRANCA,3.49,2.648,CIF,PETROBAHIA,17/08/2020,eunapolis,579,Bahia,BA,Capital Regional C (2C)
3,POSTO DO TAXISTA LTDA ME,"AVENIDA ALEXANDRIA, 150",Dinah Borges,BRANCA,3.49,2.690,CIF,SETTA DISTRIBUIDORA,17/08/2020,eunapolis,579,Bahia,BA,Capital Regional C (2C)
4,AUTO POSTO COLORADO LTDA,"AVENIDA BAHIA, 301 SEDE",Vivendas Costa Azul,BRANCA,3.4989999999999997,-,-,-,17/08/2020,eunapolis,579,Bahia,BA,Capital Regional C (2C)
5,EUNAPOLIS COMERCIO DE COMBUSTIVEIS LTDA - EPP,"AVENIDA CONSELHEIRO LUIZ VIANA, 275",Centro,ALESAT,3.53,-,-,-,17/08/2020,eunapolis,579,Bahia,BA,Capital Regional C (2C)
6,POSTO NOSSA SENHORA D AJUDA LTDA,"AVENIDA PORTO SEGURO, 40 TERREO",Centro,RAIZEN,3.5980000000000003,-,-,-,17/08/2020,eunapolis,579,Bahia,BA,Capital Regional C (2C)
7,AUTO POSTO CABRAL LTDA,"AVENIDA DAVID FADINE, 689 BR 101",Itapoan,PETROBRAS DISTRIBUIDORA S.A.,3.5989999999999998,2.765,CIF,-,17/08/2020,eunapolis,579,Bahia,BA,Capital Regional C (2C)
0,ARACI DERIVADOS DE PETROLEO LTDA,"AVENIDA MARIA QUITERIA, 694",Eucalipto,BRANCA,2.83,-,-,-,17/08/2020,feira de santana,582,Bahia,BA,Capital Regional B (2B)
1,BRAX - FEIRA DERIVADOS DE PETRÓLEO E SERVIÇOS LTDA,"RODOVIA BR 324, S/N KM 99 - TERREO",Humildes,PETROBRAS DISTRIBUIDORA S.A.,2.84,-,-,-,17/08/2020,feira de santana,582,Bahia,BA,Capital Regional B (2B)
2,POSTO PORTAL DO SERTÃO LTDA.,"RODOVIA BR-324, S/N",Centro Industrial Subae,RAIZEN,2.85,-,-,-,17/08/2020,feira de santana,582,Bahia,BA,Capital Regional B (2B)
3,MAXDIESEL DERIVADOS DE PETROLEO LTDA,"PRACA DA REPUBLICA, S/N",Centro,BRANCA,2.86,-,-,-,17/08/2020,feira de santana,582,Bahia,BA,Capital Regional B (2B)
4,POSTO DE LUBRIFICANTES PIRAI LTDA,"RUA DOUTOR ANTONIO BORJA, 145",Centro,ALESAT,2.86,-,-,-,17/08/2020,feira de santana,582,Bahia,BA,Capital Regional B (2B)
5,POSTO DE COMBUSTÍVEIS VILA OLIMPICA LTDA.,"AVENIDA RIO DE JANEIRO, 845",Pedra do Descanso,BRANCA,2.86,-,-,-,17/08/2020,feira de santana,582,Bahia,BA,Capital Regional B (2B)
6,A.S. DERIVADOS DE PETROLEO LTDA,"RUA ITAUEIRA, 444 TERREO",Parque Getulio Vargas,RAIZEN,2.86,-,-,-,17/08/2020,feira de santana,582,Bahia,BA,Capital Regional B (2B)
7,BAHIA COMERCIOS DE COMBUSTIVEIS LTDA,"AVENIDA TRANSNORDESTINA, 2060 A",Campo Limpo,BRANCA,2.86,-,-,-,17/08/2020,feira de santana,582,Bahia,BA,Capital Regional B (2B)
8,ARACI DERIVADOS DE PETROLEO LTDA,"AVENIDA EDUARDO FROES DA MOTA, 1500 .",Sim,RAIZEN,2.86,-,-,-,17/08/2020,feira de santana,582,Bahia,BA,Capital Regional B (2B)
9,POSTO KALILANDIA LTDA,"AVENIDA PRESIDENTE DUTRA, 1320",Ponto Central,RAIZEN,2.89,-,-,-,17/08/2020,feira de santana,582,Bahia,BA,Capital Regional B (2B)
10,BRASINHA CENTRO COM. DE COMB. E PECUARIA LTDA,"RUA MONSENHOR MARIO PESSOA, S/N",Centro,RAIZEN,2.89,-,-,-,17/08/2020,feira de santana,582,Bahia,BA,Capital Regional B (2B)
11,POSTOS RENASCER LTDA.,"AVENIDA GETULIO VARGAS, 2838 P. DE COMBUSTIVEIS",Parque Getulio Vargas,BRANCA,2.96,-,-,-,17/08/2020,feira de santana,582,Bahia,BA,Capital Regional B (2B)
12,POSTO KALILANDIA LTDA,"RUA DOUTOR MACARIO CERQUEIRA, S/N LOTE 01 QUADR",Muchila,BRANCA,2.96,-,-,-,17/08/2020,feira de santana,582,Bahia,BA,Capital Regional B (2B)
13,POSTOS RENASCER LTDA.,"RUA DOUTOR MACARIO CERQUEIRA, 780 P. DE COMBUSTIVEIS",Muchila Ii,BRANCA,2.96,-,-,-,17/08/2020,feira de santana,582,Bahia,BA,Capital Regional B (2B)
14,J MARTINS DERIVADOS DE PETROLEO LTDA - EPP,"AVENIDA EDUARDO FROES DA MOTA, 1197 TERREO",Santa Monica,RAIZEN,2.99,-,-,-,17/08/2020,feira de santana,582,Bahia,BA,Capital Regional B (2B)
15,TREVO DERIVADOS DE PETROLEO LTDA,"AVENIDA AV. PRESIDENTE DUTRA, 2325 TERREO",Capuchinhos,PETROBRAS DISTRIBUIDORA S.A.,2.99,-,-,-,17/08/2020,feira de santana,582,Bahia,BA,Capital Regional B (2B)
16,POSTO CAJUEIRO LTDA.,"AVENIDA PRESIDENTE DUTRA, 3300 0",Santa Mônica,PETROBRAS DISTRIBUIDORA S.A.,2.99,-,-,-,17/08/2020,feira de santana,582,Bahia,BA,Capital Regional B (2B)
17,POSTO 2001 DE COMBUSTIVEIS E LUBRIFICANTES LTDA,"AVENIDA PRESIDENTE DUTRA, 128",Centro,BRANCA,2.99,-,-,-,17/08/2020,feira de santana,582,Bahia,BA,Capital Regional B (2B)
18,TORRESCARNEIRO COMERCIO E DERIVADOS DE PETROLEO LTDA,"AVENIDA PRESIDENTE DUTRA, 574",Brasília,BRANCA,2.99,-,-,-,17/08/2020,feira de santana,582,Bahia,BA,Capital Regional B (2B)
19,M G DERIVADOS DE PETROLEO LTDA,"RODOVIA BR 324, S/N KM 98",Centro Industrial do Subae,PETROBRAS DISTRIBUIDORA S.A.,3.159,-,-,-,17/08/2020,feira de santana,582,Bahia,BA,Capital Regional B (2B)
20,J N COMERCIO DE COMBUSTIVEIS LTDA - ME,"AVENIDA RIO DE JANEIRO, 942",Pedra do Descanso,BRANCA,3.19,-,-,-,17/08/2020,feira de santana,582,Bahia,BA,Capital Regional B (2B)
21,COMERCIAL DE COMBUSTIVEIS MARTINS LTDA,"AVENIDA PRESIDENTE DUTRA, 1199",Capuchinhos,PETROBRAS DISTRIBUIDORA S.A.,3.199,-,-,-,17/08/2020,feira de santana,582,Bahia,BA,Capital Regional B (2B)
0,GRUPO A COMERCIO DE COMBUSTIVEIS LTDA,"AVENIDA BARAO DO RIO BRANCO, 1800",Sao Francisco,BRANCA,2.958,-,-,-,17/08/2020,guanambi,606,Bahia,BA,Centro Subregional A (3A)
1,POSTO DE DERIVADOS DE PETROLEO ITA GUANABARA LTDA,"AVENIDA GUANABARA, 10",Centro,BRANCA,2.958,-,-,-,17/08/2020,guanambi,606,Bahia,BA,Centro Subregional A (3A)
2,SOCIEDADE COMERCIAL MERCOLUB LTDA,"AVENIDA BARAO DO RIO BRANCO, 1439",Bairro S. Francisco,BRANCA,2.958,2.381,FOB,-,17/08/2020,guanambi,606,Bahia,BA,Centro Subregional A (3A)
3,AUTO POSTO RIO BRANCO DERIVADOS DE PETROLEO LTDA,"AVENIDA BARAO DO RIO BRANCO, 819",Centro,BRANCA,2.9589999999999996,-,-,-,17/08/2020,guanambi,606,Bahia,BA,Centro Subregional A (3A)
4,POSTO GUANAMBI LTDA.,"AVENIDA PROFESSOR JOSE NEVES TEIXEIRA, 850",Paraíso,BRANCA,2.98,-,-,-,17/08/2020,guanambi,606,Bahia,BA,Centro Subregional A (3A)
5,POSTO GUARUJA LTDA,"RODOVIA BR 030, S/N KM 01",Sede,PETROBRAS DISTRIBUIDORA S.A.,3.19,2.737,FOB,-,17/08/2020,guanambi,606,Bahia,BA,Centro Subregional A (3A)
6,ELCI FARIAS DO COUTO,"AVENIDA JOSE NEVES TEIXEIRA, S/N LOTE SANDOVAL MORAES II",Santo Antonio,BRANCA,3.197,-,-,-,17/08/2020,guanambi,606,Bahia,BA,Centro Subregional A (3A)
7,POSTO MODELO LTDA,"RUA BARAO DO RIO BRANCO, 205",Centro,RAIZEN,3.29,2.862,FOB,-,17/08/2020,guanambi,606,Bahia,BA,Centro Subregional A (3A)
8,AUTO POSTO BAKANA COMÉRCIO DE DERIVADOS DE PETROLEO LTDA,"ALAMEDA GEGE BAKANA, 238",Mutans,BRANCA,3.29,-,-,-,17/08/2020,guanambi,606,Bahia,BA,Centro Subregional A (3A)
0,POSTO D' PASSAGEM COMERCIO DE COMBUSTIVEIS LTDA,"RODOVIA JORGE AMADO, S/N BR415 ILHEUS ITABUNAKM 06",Banco da Vitoria,BRANCA,3.35,2.450,FOB,-,17/08/2020,ilheus,659,Bahia,BA,Capital Regional C (2C)
1,J S FREITAS COMÉRCIO DE DERIVADOS DE PETROLEO LTDA,"RODOVIA ILHÉUS - ITABUNA, S/N MARGEM DA BR 415",Centro,BRANCA,3.35,-,-,-,17/08/2020,ilheus,659,Bahia,BA,Capital Regional C (2C)
2,POSTO PRAIA DO SUL LTDA.,"RODOVIA ILHEUS - OLIVENÇA, SN KM 03",Zona Rural,BRANCA,3.429,2.350,FOB,-,17/08/2020,ilheus,659,Bahia,BA,Capital Regional C (2C)
3,AM DERIVADOS DE PETROLEO E COMERCIO LTDA,"AVENIDA PETROBRAS, 100 TERREO",Centro,IPIRANGA,3.4410000000000003,-,-,-,17/08/2020,ilheus,659,Bahia,BA,Capital Regional C (2C)
4,MEGA POSTO COMERCIAL DE COMBUSTIVEIS LTDA - EPP,"AVENIDA UBAITABA, 1476",Barra de Itaipe,BRANCA,3.45,-,-,-,17/08/2020,ilheus,659,Bahia,BA,Capital Regional C (2C)
5,MALHADO COMERCIO DE COMBUSTIVEIS E DERIVADOS DE PETROLEO LTDA,"AVENIDA VEREADOR AMILTON IGNACIO DE CASTRO, S/N",Barra do Itaipe,BRANCA,3.45,2.550,FOB,-,17/08/2020,ilheus,659,Bahia,BA,Capital Regional C (2C)
