,RAZÃO SOCIAL,ENDEREÇO,BAIRRO,BANDEIRA,PREÇO VENDA,PREÇO COMPRA,MODELIDADE DE COMPRA,FORNECEDOR (B BRANCA),DATA COLETA,CIDADE,COD_CIDADE,ESTADO,COD_ESTADO,REGIÂO_ESTADO
6,POSTO DE SERVICOS DOM EDUARDO LTDA.,"AVENIDA ITABUNA, 1814 MODULOS A E B",Basilio,BRANCA,3.45,-,-,-,17/08/2020,ilheus,659,Bahia,BA,Capital Regional C (2C)
7,DERIVADOS DE PETROLEO LELEU LTDA,"AVENIDA ITABUNA, 2282",Centro,IPIRANGA,3.469,-,-,-,17/08/2020,ilheus,659,Bahia,BA,Capital Regional C (2C)
8,COMERCIAL SAVOIA LTDA,"AVENIDA RAYMUNDO SA BARRETO, S/N LOTES 26 27 E 28",Jardim Savoia,BRANCA,3.4789999999999996,2.660,FOB,PETRONAC,17/08/2020,ilheus,659,Bahia,BA,Capital Regional C (2C)
9,IVAN COELHO PORTO & IRMAOS LTDA,"RUA A ROD ILHEUS OLIVENCA, SN KM 0",Sao Francisco,BRANCA,3.49,2.792,FOB,ROYAL FIC,17/08/2020,ilheus,659,Bahia,BA,Capital Regional C (2C)
10,CHECON DANTAS COMERCIO DE COMBUSTIVEIS LTDA,"AVENIDA ITABUNA, 534",Centro,RAIZEN,3.5989999999999998,-,-,-,17/08/2020,ilheus,659,Bahia,BA,Capital Regional C (2C)
11,POSTO ATLANTICO SUL LTDA,"AVENIDA TANCREDO NEVES, 1068",Sao Francisco,BRANCA,3.8789999999999996,-,-,-,17/08/2020,ilheus,659,Bahia,BA,Capital Regional C (2C)
0,POSTO PAGUE MENOS LTDA,"RODOVIA BA 233, SN KM 01 EST. IPIRA/ITABERABA",,BRANCA,2.97,-,-,-,17/08/2020,ipira,669,Bahia,BA,Centro de Zona A (4A)
1,CENTRALPOSTO LTDA,"RODOVIA BA 052, S/N P. DE COMBUSTIVEIS",Povoado Pau Ferro,BRANCA,2.97,-,-,-,17/08/2020,ipira,669,Bahia,BA,Centro de Zona A (4A)
2,MARCOS VINICIUS OLIVEIRA ARAUJO - ME,"RUA WALDOMIRO LINS, 47 POSTO",Centro,BRANCA,3.38,2.680,CIF,PETROX DISTRIBUIDORA,17/08/2020,ipira,669,Bahia,BA,Centro de Zona A (4A)
3,AUTO POSTO SAO JOAO LTDA,"RODOVIA BA 052, S/N KM 85",Centro,PETROBRAS DISTRIBUIDORA S.A.,3.3989999999999996,2.778,CIF,-,17/08/2020,ipira,669,Bahia,BA,Centro de Zona A (4A)
4,A S VIANA COSTA DANTAS,"SITIO SAO JOSE, SN",Sede,ALESAT,3.46,-,-,-,17/08/2020,ipira,669,Bahia,BA,Centro de Zona A (4A)
0,AUTO POSTO COPA 70 LTDA,"BA 052 KM 354, SN",Sede,BRANCA,3.1889999999999996,-,-,-,17/08/2020,irece,678,Bahia,BA,Centro Subregional A (3A)
1,COSTA MENDONCA DERIVADOS DE PETROLEO LTDA,"AVENIDA PRIMEIRO DE JANEIRO, 275 TERREO",Centro,BRANCA,3.199,2.638,CIF,TDC DISTRIBUIDORA,17/08/2020,irece,678,Bahia,BA,Centro Subregional A (3A)
2,IRECE DERIVADOS DE PETROLEO LTDA - EPP,"PRA A DR. MARIO DOURADO SOBRINHO, 87-A TERREO",Centro,PETROBRAS DISTRIBUIDORA S.A.,3.219,-,-,-,17/08/2020,irece,678,Bahia,BA,Centro Subregional A (3A)
3,POSTO QUATRO RODAS LTDA,"AVENIDA PRIMEIRO DE JANEIRO, 61 LOTE 07, QUADRA C",Jardim Liborio,PETROBRAS DISTRIBUIDORA S.A.,3.239,2.754,CIF,-,17/08/2020,irece,678,Bahia,BA,Centro Subregional A (3A)
4,S. A. M. COMERCIO LTDA.,"AVENIDA CARAIBAS, 247",Centro,PETROBRAS DISTRIBUIDORA S.A.,3.29,-,-,-,17/08/2020,irece,678,Bahia,BA,Centro Subregional A (3A)
5,EDGAR ALICRIM DE SOUZA E CIA LTDA,"AVENIDA ANTONIO CARLOS MAGALHAES, 30",Centro,PETROBRAS DISTRIBUIDORA S.A.,3.29,-,-,-,17/08/2020,irece,678,Bahia,BA,Centro Subregional A (3A)
6,COMERCIAL RADAR COMBUSTIVEIS LTDA - ME,"AVENIDA PRIMEIRO DE JANEIRO, 1150",Centro,BRANCA,3.2960000000000003,-,-,-,17/08/2020,irece,678,Bahia,BA,Centro Subregional A (3A)
7,ORGANIZACAO HILDEBRANDOS LTDA,"AVENIDA TERTULIANO CAMBUI, 560 TERREO",Centro,BRANCA,3.299,-,-,-,17/08/2020,irece,678,Bahia,BA,Centro Subregional A (3A)
0,RONI COMERCIO DE COMBUSTIVEIS LTDA,"RODOVIA BR-101, S/N KM: 507;",Taveirolandia,BRANCA,3.36,-,-,-,17/08/2020,itabuna,683,Bahia,BA,Capital Regional B (2B)
1,FERRADAS COMERCIO E DERIVADOS DE PETROLEO LTDA,"RUA SANTO ANTONIO - LOTEAMENTO GONCALVES, S/N LT 26 E 27",Ferradas,PETROBRAS DISTRIBUIDORA S.A.,3.42,-,-,-,17/08/2020,itabuna,683,Bahia,BA,Capital Regional B (2B)
2,COMERCIO DE COMBUSTIVEL NUNES LTDA,"AVENIDA MANOEL CHAVES, 500 LT.JD.CORDIER L. 8/13",Jacana,BRANCA,3.43,-,-,-,17/08/2020,itabuna,683,Bahia,BA,Capital Regional B (2B)
3,CARNEIRO DERIVADOS DE PETROLEO LTDA,"AVENIDA JOSE SOARES PINHEIRO, S/N KM 3",Lomanto Junior,PETROBRAS DISTRIBUIDORA S.A.,3.43,-,-,-,17/08/2020,itabuna,683,Bahia,BA,Capital Regional B (2B)
4,K. R. CARVALHO & CIA LTDA,"AVENIDA JURACY MAGALHAES, 721 TERREO",Centro,BRANCA,3.44,-,-,-,17/08/2020,itabuna,683,Bahia,BA,Capital Regional B (2B)
5,AUTO POSTO UNIVERSAL LTDA,"AVENIDA PRINCESA ISABEL, S/N ESQUINA C/ RUA SERGIPE",São Caetano,RAIZEN,3.44,-,-,-,17/08/2020,itabuna,683,Bahia,BA,Capital Regional B (2B)
6,DERIVADOS DE PETROLEO TEUNA LTDA,"AVENIDA INACIO TOSTA FILHO, 834",Centro,BRANCA,3.44,-,-,-,17/08/2020,itabuna,683,Bahia,BA,Capital Regional B (2B)
7,LEAL NOVAIS COMÉRCIO DE COMBUSTIVEIS LTDA EPP,"AVENIDA PRINCESA ISABEL, 812",São Caetano,BRANCA,3.44,-,-,-,17/08/2020,itabuna,683,Bahia,BA,Capital Regional B (2B)
8,FAMA COMERCIO DE COMBUSTIVEIS EIRELI,"AVENIDA AMELIA AMADO, 987",Centro,BRANCA,3.45,2.687,FOB,SETTA DISTRIBUIDORA,17/08/2020,itabuna,683,Bahia,BA,Capital Regional B (2B)
9,DERIVADOS DE PETROLEO E SERVICOS LTDA,"AVENIDA JOSE SOARES PINHEIRO, 2261 TERREO",Lomanto Junior,BRANCA,3.45,2.675,CIF,-,17/08/2020,itabuna,683,Bahia,BA,Capital Regional B (2B)
10,PEIXOTO PRODUTOS DE PETROLEO LTDA,"AVENIDA JURACY MAGALHAES, 782 TERREO",Fatima,RAIZEN,3.45,-,-,-,17/08/2020,itabuna,683,Bahia,BA,Capital Regional B (2B)
11,HAGGE & HAGGE LTDA,"AVENIDA DO CINQUENTENARIO, 1515 TERREO",Centro Sede,PETROBRAS DISTRIBUIDORA S.A.,3.45,-,-,-,17/08/2020,itabuna,683,Bahia,BA,Capital Regional B (2B)
12,COMERCIAL DE DERIVADOS DE PETROLEO DA HORA LTDA EPP,"AVENIDA INACIO TOSTA FILHO, 508",Centro,BRANCA,3.54,2.685,FOB,LARCO,17/08/2020,itabuna,683,Bahia,BA,Capital Regional B (2B)
0,COMÉRCIO DE COMBUSTÍVEIS PENIEL LTDA.,"AVENIDA PERIMETRAL, 1450",Centro,BRANCA,3.3989999999999996,2.580,FOB,-,17/08/2020,itamaraju,702,Bahia,BA,Centro Subregional B (3B)
1,CODEPEL COMÉRCIO DE DERIVADOS DE PETRÓLEO LTDA,"AVENIDA PERIMETRAL, 348",Centro,BRANCA,3.3989999999999996,-,-,-,17/08/2020,itamaraju,702,Bahia,BA,Centro Subregional B (3B)
2,A.S. CARDOSO E CIA LTDA - EPP,"RUA LIBERDADE, 772",Centro,BRANCA,3.45,-,-,-,17/08/2020,itamaraju,702,Bahia,BA,Centro Subregional B (3B)
3,BENTIVI DERIVADOS DE PETROLEO LTDA,"RODOVIA BR 101, S/N KM 808",Sede,IPIRANGA,3.4789999999999996,-,-,-,17/08/2020,itamaraju,702,Bahia,BA,Centro Subregional B (3B)
0,TROPICAL COMBUSTIVEIS E LUBRIFICANTES LTDA,"RUA FRANCISCO ROCHA PIRES, 300",Centro,BRANCA,3.159,-,-,-,17/08/2020,jacobina,736,Bahia,BA,Centro Subregional B (3B)
1,AUTO POSTO PEDRA BRANCA LTDA,"AVENIDA RAIMUNDO GORDIANO CERDAZ, 2197",Sede,RAIZEN,3.179,-,-,-,17/08/2020,jacobina,736,Bahia,BA,Centro Subregional B (3B)
2,AUTO POSTO JACOBINA LTDA,"AVENIDA ORLANDO OLIVEIRA PIRES, 1430",Centro,RAIZEN,3.179,-,-,-,17/08/2020,jacobina,736,Bahia,BA,Centro Subregional B (3B)
3,BC REVENDA DE COMBUSTIVEIS LTDA - EPP,"AVENIDA LOMANTO JUNIOR, 128",Centro,BRANCA,3.179,-,-,-,17/08/2020,jacobina,736,Bahia,BA,Centro Subregional B (3B)
4,PARENTES REVENDA DE PRODUTOS DE PETROLEO LTDA.,"AVENIDA CENTENARIO, 1600",Nazare,BRANCA,3.179,-,-,-,17/08/2020,jacobina,736,Bahia,BA,Centro Subregional B (3B)
5,SR COMBUSTIVEIS E LUBRIFICANTES EIRELI,"PRA A 02 DE JULHO, 200",Missao,BRANCA,3.199,-,-,-,17/08/2020,jacobina,736,Bahia,BA,Centro Subregional B (3B)
0,REDE HG COMBUSTIVEIS LTDA.,"RODOVIA BR-116, S/N KM: 640;",Entroncamento,PETROBRAS DISTRIBUIDORA S.A.,3.299,-,-,-,17/08/2020,jaguaquara,740,Bahia,BA,Centro de Zona B (4B)
1,CLM COMERCIO DE DERIVADOS DE PETROLEO LTDA,"AVENIDA PRESIDENTE MEDICI, 2150",Entroncamento de Jaguaquara,RAIZEN,3.3489999999999998,2.754,CIF,-,17/08/2020,jaguaquara,740,Bahia,BA,Centro de Zona B (4B)
2,SERRA COMERCIO DE DERIVADOS DE PETROLEO LTDA,"RODOVIA BR 116 KM 648, SN",Rodovia,RAIZEN,3.3989999999999996,-,-,-,17/08/2020,jaguaquara,740,Bahia,BA,Centro de Zona B (4B)
3,EALS POSTO DE COMBUSTIVEL EIRELI,"RUA SIQUEIRA CAMPOS, 09",Centro,ALESAT,3.509,-,-,-,17/08/2020,jaguaquara,740,Bahia,BA,Centro de Zona B (4B)
4,EALS POSTO DE COMBUSTIVEL EIRELI,"RUA CORONEL DURVAL MATOS, 171",Centro,ALESAT,3.549,2.826,CIF,-,17/08/2020,jaguaquara,740,Bahia,BA,Centro de Zona B (4B)
5,AUTO POSTO DE COMBUSTIVEIS J. BOMFIM LTDA,"RUA PROFESSOR PAULO FREIRE, 80",Loteamento Jaguar,RAIZEN,3.549,2.860,CIF,-,17/08/2020,jaguaquara,740,Bahia,BA,Centro de Zona B (4B)
6,AUTO POSTO DE COMBUSTIVEIS INACIO LTDA - ME,"RUA RODOLFO SANTOS, 369",Ceara,HORA,3.5989999999999998,2.830,CIF,-,17/08/2020,jaguaquara,740,Bahia,BA,Centro de Zona B (4B)
0,O UMBUZEIRO COMERCIAL DE DERIVADOS DE PETROLEO LTDA,"RODOVIA BR 116 KM 698, S/N JEQUIE/VIT.DA CONQ.",Zona Rural,PETROBRAS DISTRIBUIDORA S.A.,3.319,-,-,-,17/08/2020,jequie,749,Bahia,BA,Centro Subregional A (3A)
1,COMERCIAL DE DERIVADOS DE PETROLEO UNIPETRO LTDA,"AVENIDA LANDULFO CARIBE, LOTES 08 E 09, S/N LOT.CICERO BRITO",Centro,BRANCA,3.56,-,-,-,17/08/2020,jequie,749,Bahia,BA,Centro Subregional A (3A)
2,STOCK COMÉRCIO DE DERIVADOS DE PETRÓLEO LTDA.,"RUA BRIGADEIRO SÁ BITENCOURT, 05",Jequiezinho,PETROBRAS DISTRIBUIDORA S.A.,3.569,-,-,-,17/08/2020,jequie,749,Bahia,BA,Centro Subregional A (3A)
3,CAROL COMERCIO DE COMBUSTIVEIS E DERIVADOS DE PETROLEO LTDA,"AVENIDA GOVERNADOR LOMANTO JUNIOR - LOTEAMENTO SANTA LUZ, S/N QUA",Joaquim Romao,BRANCA,3.569,2.720,CIF,MAXXI,17/08/2020,jequie,749,Bahia,BA,Centro Subregional A (3A)
4,AUTO POSTO ALMEIDA BRITO LTDA.,"RUA ULISSES COELHO LIMA, S/N",Km 03,PETROSERRA,3.57,2.790,CIF,-,17/08/2020,jequie,749,Bahia,BA,Centro Subregional A (3A)
5,PITU COMERCIO DE DERIVADOS DE PETROLEO LTDA,"AVENIDA GOVERNADOR LOMANTO JUNIOR, 220",Centro,BRANCA,3.57,2.350,CIF,-,17/08/2020,jequie,749,Bahia,BA,Centro Subregional A (3A)
6,OLIVALDO RIBEIRO DE NOVAES & CIA LTDA,"PRACA LUIS VIANA, 17",Centro,BRANCA,3.58,-,-,-,17/08/2020,jequie,749,Bahia,BA,Centro Subregional A (3A)
7,COMERCIO DE DERIVADO DE PETROLEO LUNARA LTDA,"AVENIDA FRANZ GEDEON, 762",Jequiezinho,BRANCA,3.58,-,-,-,17/08/2020,jequie,749,Bahia,BA,Centro Subregional A (3A)
8,COMERCIO DE DERIVADOS DE PETRÓLEO BARRETO LTDA.,"AVENIDA FRANZ GEDEON, 250 0",Centro,IPIRANGA,3.6,-,-,-,17/08/2020,jequie,749,Bahia,BA,Centro Subregional A (3A)
0,TRANSVALE DERIVADOS DE PETROLEO LTDA,"RODOVIA LOMANTO JUNIOR, SN TERREOBR 407 KM 09",Joao Paulo Ii,IPIRANGA,3.299,-,-,-,17/08/2020,juazeiro,759,Bahia,BA,Capital Regional C (2C) - Município integrante do Arranjo Populacional de Petrolina/PE - Juazeiro/BA
1,AUTO POSTO REIS ARAUJO LTDA,"RUA EDGARD CHASTINET, S/N",Sao Geraldo,DISLUB,3.59,-,-,-,17/08/2020,juazeiro,759,Bahia,BA,Capital Regional C (2C) - Município integrante do Arranjo Populacional de Petrolina/PE - Juazeiro/BA
2,POSTO RODOVIA LTDA,"RODOVIA BA 210,, S/N KM 01",Vila Tiradentes,RAIZEN,3.59,-,-,-,17/08/2020,juazeiro,759,Bahia,BA,Capital Regional C (2C) - Município integrante do Arranjo Populacional de Petrolina/PE - Juazeiro/BA
3,LOURIVAL AUTO POSTO LTDA.,"AVENIDA JOAO DURVAL CARNEIRO, S/N LOT. MODELO",João Xxiii,ALESAT,3.5989999999999998,-,-,-,17/08/2020,juazeiro,759,Bahia,BA,Capital Regional C (2C) - Município integrante do Arranjo Populacional de Petrolina/PE - Juazeiro/BA
4,POSTO VITÓRIA COM. REPRES. DE DERIV. DE PETRÓLEO LTDA.,"RUA VISCONDE DE CAIRU, 18-B",Jardim Vitória,PETROBRAS DISTRIBUIDORA S.A.,3.5989999999999998,-,-,-,17/08/2020,juazeiro,759,Bahia,BA,Capital Regional C (2C) - Município integrante do Arranjo Populacional de Petrolina/PE - Juazeiro/BA
5,JOSE CICERO POSTOS - EIRELI,"RUA CAMAMU, SN LOT JARDIM VERA CRUZ QD K LOTE 16 A 18",Malhada da Areia,PETROBRAS DISTRIBUIDORA S.A.,3.69,-,-,-,17/08/2020,juazeiro,759,Bahia,BA,Capital Regional C (2C) - Município integrante do Arranjo Populacional de Petrolina/PE - Juazeiro/BA
6,JOSE CICERO POSTOS - EIRELI,"RODOVIA BA 210, 70 LOT. CANUDOS COMPL. QD 23 LT 12 A 19",Tancredo Neves,PETROBRAS DISTRIBUIDORA S.A.,3.69,-,-,-,17/08/2020,juazeiro,759,Bahia,BA,Capital Regional C (2C) - Município integrante do Arranjo Populacional de Petrolina/PE - Juazeiro/BA
7,DONA ROSA COMBUSTIVEIS LTDA,"RUA ERNESTO DIAS, 9 LOT.JARDIM CAMPESTRE QD A LT 1 E 2",Tabuleiro,PETROBRAS DISTRIBUIDORA S.A.,3.69,-,-,-,17/08/2020,juazeiro,759,Bahia,BA,Capital Regional C (2C) - Município integrante do Arranjo Populacional de Petrolina/PE - Juazeiro/BA
8,VALE DERIVADOS DE PETRÓLEO LTDA,"RODOVIA LOMANTO JUNIOR KM 06, S/N BR 407",João Paulo Ii,IPIRANGA,3.779,-,-,-,17/08/2020,juazeiro,759,Bahia,BA,Capital Regional C (2C) - Município integrante do Arranjo Populacional de Petrolina/PE - Juazeiro/BA
9,ARAUJO COMERCIO DE COMBUSTÍVEIS E LUBRIFICANTES LTDA.,"RUA A - CAMINHO VINTE E CINCO, S/N LOTE 01",Tancredo Neves,PETROBRAS DISTRIBUIDORA S.A.,3.8,-,-,-,17/08/2020,juazeiro,759,Bahia,BA,Capital Regional C (2C) - Município integrante do Arranjo Populacional de Petrolina/PE - Juazeiro/BA
0,",POSTO DE GASOLINA MUNIZ LTDA","ESTRADA DE AREMBEPE, 33 KM 3",Sede,BRANCA,2.89,2.665,CIF,PETROBRAS DISTRIBUIDORA S.A.,17/08/2020,lauro de freitas,789,Bahia,BA,Metrópole (1C) - Município integrante do Arranjo Populacional de Salvador/BA
1,RODRIGUES TORRES COMERCIO E DERIVADOS DE PETROLEO LTDA,"RODOVIA BA 099, S/N KM 06 - LOT MIRAGEM",Portão,BRANCA,2.96,2.862,CIF,LARCO,17/08/2020,lauro de freitas,789,Bahia,BA,Metrópole (1C) - Município integrante do Arranjo Populacional de Salvador/BA
2,POSTO DE COMBUSTÍVEIS CAMBUI LTDA.,"AVENIDA FORTALEZA, S/Nº LOTES DE 01 A 03",Itinga,BRANCA,2.96,2.720,CIF,RAIZEN,17/08/2020,lauro de freitas,789,Bahia,BA,Metrópole (1C) - Município integrante do Arranjo Populacional de Salvador/BA
3,VILAS COMERCIO DE COMBUSTIVEIS LTDA,"AVENIDA LUIZ TARQUINIO, S/N LT. 09 E 10 - QD. 19",Vilas do Atlântico,BRANCA,2.96,-,-,-,17/08/2020,lauro de freitas,789,Bahia,BA,Metrópole (1C) - Município integrante do Arranjo Populacional de Salvador/BA
4,POSTO DE COMBUSTIVEIS JAGUARIBE LTDA,"RODOVIA BA 99, S/N KM 2,5",Estrada do Coco,BRANCA,2.96,2.665,CIF,PETROBRAS DISTRIBUIDORA S.A.,17/08/2020,lauro de freitas,789,Bahia,BA,Metrópole (1C) - Município integrante do Arranjo Populacional de Salvador/BA
5,POSTO VILAS DO ATLANTICO LTDA,"RUA ANA C B DIAS, 109 LOTE V000 QUADRA 16 A",Buraquinho,BRANCA,2.96,2.665,CIF,PETROBAHIA,17/08/2020,lauro de freitas,789,Bahia,BA,Metrópole (1C) - Município integrante do Arranjo Populacional de Salvador/BA
6,KOLUNA COMERCIO DE COMBUSTIVEIS E DERIVADOS DO PETROLEO LTDA - ME,"RUA A, SN QUADRA 02 LT 1 E 2",Loteamento Varandas Tropicais,PETROBRAS DISTRIBUIDORA S.A.,2.98,2.692,CIF,-,17/08/2020,lauro de freitas,789,Bahia,BA,Metrópole (1C) - Município integrante do Arranjo Populacional de Salvador/BA
7,POSTO KALILANDIA LTDA,"AVENIDA SANTOS DUMONT, 4958 LOTEAMENTO JARDIM AEROPORTO",Pitangueiras,RAIZEN,2.99,-,-,-,17/08/2020,lauro de freitas,789,Bahia,BA,Metrópole (1C) - Município integrante do Arranjo Populacional de Salvador/BA
8,AUTO POSTO GAROUPA LTDA,"LOTEAMENTO 8 ETAPA , PROJETO URBANÍSTICO, S/N LOTE 03 QD 12",Vilas do Atlântico,RAIZEN,2.99,-,-,-,17/08/2020,lauro de freitas,789,Bahia,BA,Metrópole (1C) - Município integrante do Arranjo Populacional de Salvador/BA
9,POSTO DE COMBUSTÍVEIS ITINGA LTDA.,"RUA SÃO CRISTOVÃO, 1369 LOTEAMENTO JARDIM METRÓPOLE",Itinga,BRANCA,2.99,2.736,CIF,LARCO,17/08/2020,lauro de freitas,789,Bahia,BA,Metrópole (1C) - Município integrante do Arranjo Populacional de Salvador/BA
10,JOCKEY AUTO POSTO LTDA,"AVENIDA LUIZ TARQUINIO PONTES, 157",Centro,PETROBRAS DISTRIBUIDORA S.A.,3.39,-,-,-,17/08/2020,lauro de freitas,789,Bahia,BA,Metrópole (1C) - Município integrante do Arranjo Populacional de Salvador/BA
0,AUTO POSTO PIRES PEREIRA LTDA,"AVENIDA LINDEMBERG CARDOSO, 667 COMODO",Taquari,BRANCA,3.298,-,-,-,17/08/2020,livramento de nossa senhora,793,Bahia,BA,Centro de Zona B (4B)
1,POSTO GRUTA DA LAPA LTDA,"RUA LEONIDAS CARDOSO, 294",Centro,PETROBRAS DISTRIBUIDORA S.A.,3.299,-,-,-,17/08/2020,livramento de nossa senhora,793,Bahia,BA,Centro de Zona B (4B)
2,MACHADO & FILHOS LTDA,"AVENIDA LINDENBERG CARDOSO, 171 CASA",Taquari,BRANCA,3.299,-,-,-,17/08/2020,livramento de nossa senhora,793,Bahia,BA,Centro de Zona B (4B)
3,JUSCELIO JOSE PIRES,"RUA ADOLFO PESSOA, 88",Iguatemi,BRANCA,3.4,-,-,-,17/08/2020,livramento de nossa senhora,793,Bahia,BA,Centro de Zona B (4B)
0,ARAUJO ROCHA COMBUSTIVEL LTDA,"AVENIDA BA 210, 3597 LOTE 01/02/03 QUADRA204",Tancredo Neves Ii,RAIZEN,3.45,-,-,-,17/08/2020,paulo afonso,909,Bahia,BA,Centro Subregional A (3A)
1,JOSE CARLOS DOS SANTOS DE PAULO AFONSO,"AVENIDA LANDULFO ALVES, S/N SALA",Vila de Fatima,PETROBRAS DISTRIBUIDORA S.A.,3.4589999999999996,-,-,-,17/08/2020,paulo afonso,909,Bahia,BA,Centro Subregional A (3A)
2,RICALL COMBUSTIVEIS LTDA,"RODOVIA BA 210, 1185",Tancredo Neves Ii,PETROBRAS DISTRIBUIDORA S.A.,3.466,-,-,-,17/08/2020,paulo afonso,909,Bahia,BA,Centro Subregional A (3A)
